21_39_43_272907_LED_set_pixels_1,0:00:04.005310,5.120,260.425,1335.555
21_40_39_433111_LED_set_pixels_1,0:00:04.003342,5.120,260.688,1333.288
21_41_35_583346_LED_set_pixels_1,0:00:04.004852,5.120,260.868,1332.478
21_42_31_735740_LED_set_pixels_1,0:00:03.998107,5.119,262.370,1346.124
21_43_27_891352_LED_set_pixels_1,0:00:04.001353,5.119,262.579,1337.613
21_44_24_046370_LED_set_pixels_1,0:00:03.998808,5.120,260.817,1339.580
21_45_20_218800_LED_set_pixels_1,0:00:03.997420,5.120,260.590,1333.856
21_46_16_361767_LED_set_pixels_1,0:00:03.997441,5.120,260.833,1333.818
21_47_12_515560_LED_set_pixels_1,0:00:03.999096,5.120,260.646,1335.288
21_48_08_665061_LED_set_pixels_1,0:00:03.999769,5.120,260.615,1333.004
