21_36_38_185539_temperature_from_humidity,0:00:01.000211,5.120,260.333,1335.160
21_36_46_204448_temperature_from_humidity,0:00:00.995316,5.120,260.574,1333.085
21_36_54_217284_temperature_from_humidity,0:00:00.993708,5.121,260.190,1330.813
21_37_02_241386_temperature_from_humidity,0:00:00.994707,5.120,259.616,1330.368
21_37_10_261186_temperature_from_humidity,0:00:00.994217,5.120,260.407,1332.334
21_37_18_279806_temperature_from_humidity,0:00:00.994404,5.120,260.138,1332.721
21_37_26_298568_temperature_from_humidity,0:00:00.995917,5.120,259.934,1330.674
21_37_34_317011_temperature_from_humidity,0:00:00.993532,5.120,261.214,1337.217
21_37_42_335931_temperature_from_humidity,0:00:00.994874,5.120,260.075,1333.058
21_37_50_354660_temperature_from_humidity,0:00:00.996446,5.120,259.973,1330.825
